"pIC50","APC2D1_N_N","APC2D2_C_O","APC2D2_C_S","APC2D2_N_N","APC2D2_N_O","APC2D2_O_O","APC2D2_F_X","APC2D3_N_N","APC2D3_N_O","APC2D3_N_F","APC2D3_N_Cl","APC2D3_O_O","APC2D3_X_X","APC2D4_C_N","APC2D4_N_N","APC2D4_N_O","APC2D4_N_S","APC2D4_N_Cl","APC2D4_N_X","APC2D4_O_O","APC2D4_F_F","APC2D5_C_X","APC2D5_N_N","APC2D5_N_O","APC2D5_N_F","APC2D5_N_Cl","APC2D5_O_O","APC2D5_O_Cl","APC2D5_O_X","APC2D6_C_O","APC2D6_N_N","APC2D6_N_O","APC2D6_N_Cl","APC2D6_N_X","APC2D6_O_O","APC2D6_O_X","APC2D7_C_S","APC2D7_N_N","APC2D7_N_O","APC2D7_N_F","APC2D7_N_Cl","APC2D7_O_F","APC2D7_O_Cl","APC2D8_C_N","APC2D8_C_S","APC2D8_C_Cl","APC2D8_N_N","APC2D8_N_O","APC2D8_N_F","APC2D8_O_O","APC2D8_O_X","APC2D9_C_O","APC2D9_N_N","APC2D9_N_O","APC2D9_N_F","APC2D9_N_Cl","APC2D9_O_O","APC2D9_O_X","APC2D10_C_C","APC2D10_C_N","APC2D10_C_Cl","APC2D10_N_N","APC2D10_N_O","APC2D10_N_F","APC2D10_O_O","APC2D10_O_X"
7.30102999566398,0,3,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,3,0,2,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,4,1,0,0,0,0,2,11,3,0,0,0,0,0,0
6.07572071393812,0,5,0,0,1,1,6,0,0,0,0,0,0,4,0,0,0,0,3,0,0,15,0,2,0,0,2,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,5,0,0,0,0,0,6,12,0,0,0,0,3,1,0
7.69897000433602,0,5,0,0,1,1,3,0,0,0,0,0,0,4,0,0,0,1,1,0,0,9,0,2,0,0,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,5,0,0,0,0,0,2,12,0,0,0,0,3,1,0
5.24412514432751,0,5,0,0,1,1,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,9,0,2,0,0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,0,0,0,11,1,0,0,0,0,0,0
5.07572071393812,0,5,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,2,0,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,1,0,0,0,0,11,1,0,0,0,0,0,0
7.04575749056067,0,7,0,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,0,1,1,6,0,2,0,0,2,0,2,6,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,6,5,0,1,0,0,1,0,12,1,0,0,0,0,0,0
7.74472749489669,0,3,0,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,8,0,2,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,4,4,0,0,0,0,0,1,11,0,2,0,0,0,0,0
6.82390874094432,0,5,0,0,1,1,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,3,1,0
6.74472749489669,0,3,0,0,1,1,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,9,0,2,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,6,16,0,0,0,0,0,0,0
7.34678748622466,0,3,0,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,8,0,2,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,1,11,0,0,0,0,0,0,0
7.09691001300806,0,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,3,0,2,0,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0,0,0,0,2,12,3,0,0,0,0,0,0
5.53760200210104,0,3,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,2,0,0,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0
6.21467016498923,0,3,0,0,1,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,6,0,2,0,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,4,4,1,0,0,0,0,0,11,3,0,0,0,0,0,0
6.76955107862173,0,7,0,0,1,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,7,0,0,0,0,0,0,12,0,0,0,0,0,1,0
