"pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC5","SubFPC9","SubFPC13","SubFPC18","SubFPC49","SubFPC84","SubFPC85","SubFPC88","SubFPC100","SubFPC133","SubFPC135","SubFPC136","SubFPC137","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC183","SubFPC275","SubFPC279","SubFPC287","SubFPC295","SubFPC302","SubFPC303","SubFPC307"
7.30102999566398,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,8,5,2,18
6.07572071393812,0,3,0,1,6,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,7,7,2,19
7.69897000433602,0,3,0,1,3,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,7,6,2,18
5.24412514432751,0,3,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,2,7,6,2,18
5.07572071393812,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,7,5,2,17
7.04575749056067,0,3,0,1,0,0,2,0,1,0,2,1,0,0,0,4,0,2,0,0,0,0,0,2,9,6,2,17
7.74472749489669,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,1,2,0,0,0,0,0,2,5,4,2,17
6.82390874094432,1,3,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,7,6,2,18
6.74472749489669,0,3,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,5,5,2,22
7.34678748622466,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,3,0,0,0,0,0,2,5,4,2,17
7.09691001300806,3,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,5,5,2,18
5.53760200210104,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,5,4,2,17
6.21467016498923,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,2,0,0,0,0,0,2,8,5,2,18
6.76955107862173,0,3,0,1,0,0,2,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,2,9,6,2,17
6.53760200210104,0,3,0,1,3,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,7,6,2,18
6.1337126609158,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,2,5,4,2,17
7.3767507096021,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,2,0,0,0,0,0,2,7,5,2,17
6.43179827593301,0,3,0,1,3,0,0,0,1,0,2,1,1,0,0,4,0,0,0,0,0,0,0,2,8,6,2,18
6.50863830616573,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,7,5,2,17
6.64781748188864,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,7,5,2,17
7.15490195998574,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,1,0,0,0,0,0,0,2,5,4,2,17
6.21467016498923,0,3,0,1,0,0,0,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,2,6,4,2,17
5.76955107862173,0,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,1,0,0,0,0,0,2,7,5,2,17
7.76955107862173,1,3,0,1,0,0,1,0,1,0,2,1,0,0,0,4,0,2,0,0,0,0,0,2,7,6,2,17
6.4089353929735,0,3,0,1,3,0,0,0,1,0,2,1,0,0,0,4,0,0,0,0,0,0,0,4,8,7,2,19
5.52287874528034,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,5,5,0,12
5.14266750356873,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,7,5,0,12
5.49485002168009,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,5,4,0,14
6.09691001300806,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,4,7,5,0,14
4.3936186348894,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,8,5,0,12
6.09691001300806,1,0,1,0,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5,4,0,10
4.45593195564972,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,6,3,0,11
6.15490195998574,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,7,6,0,12
5.03151705144607,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,4,6,3,0,13
4.95860731484177,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,6,4,0,11
5.39794000867204,2,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,5,4,0,13
5.49485002168009,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,6,2,0,11
5.20760831050175,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,3,0,12
5.04575749056067,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,6,3,0,12
4.64781748188864,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,3,0,12
